conceptId,domain,subdomain,concept,objectiveId,learningObjective,questionType,difficulty,examWeight,marylandSpecific,questionTarget,status,sourceBasis,generationPrompt
md-lh-0001,Insurance Regulation,Licensing,Producer license requirements,md-lh-0001-obj-1,Define Producer license requirements and identify its core purpose on the Maryland Life & Health exam.,Definition,Easy,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Producer license requirements' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0001,Insurance Regulation,Licensing,Producer license requirements,md-lh-0001-obj-2,Identify Producer license requirements when it appears in a realistic client or producer scenario.,Scenario,Moderate,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Producer license requirements' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0001,Insurance Regulation,Licensing,Producer license requirements,md-lh-0001-obj-3,"Compare Producer license requirements with closely related terms, products, provisions, or regulations.",Comparison,Moderate,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Producer license requirements' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0001,Insurance Regulation,Licensing,Producer license requirements,md-lh-0001-obj-4,"Determine whether Producer license requirements is appropriate for a client's stated need, age, risk, or coverage goal.",Suitability,Prometric,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Producer license requirements' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0001,Insurance Regulation,Licensing,Producer license requirements,md-lh-0001-obj-5,"Recognize common exam traps, misleading wording, or incorrect distractors involving Producer license requirements.",Trap/Distractor,Hard,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Producer license requirements' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0001,Insurance Regulation,Licensing,Producer license requirements,md-lh-0001-obj-6,"Apply Maryland-specific or federal rules that may affect Producer license requirements, when applicable.",Maryland/Federal Rule,Prometric,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Producer license requirements' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0002,Insurance Regulation,Licensing,Resident producer application,md-lh-0002-obj-1,Define Resident producer application and identify its core purpose on the Maryland Life & Health exam.,Definition,Easy,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Resident producer application' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0002,Insurance Regulation,Licensing,Resident producer application,md-lh-0002-obj-2,Identify Resident producer application when it appears in a realistic client or producer scenario.,Scenario,Moderate,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Resident producer application' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0002,Insurance Regulation,Licensing,Resident producer application,md-lh-0002-obj-3,"Compare Resident producer application with closely related terms, products, provisions, or regulations.",Comparison,Moderate,High,Yes,17,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Resident producer application' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
md-lh-0002,Insurance Regulation,Licensing,Resident producer application,md-lh-0002-obj-4,"Determine whether Resident producer application is appropriate for a client's stated need, age, risk, or coverage goal.",Suitability,Prometric,High,Yes,35,ready_for_generation,Prometric Maryland content outline categories + Maryland Life & Health producer exam prep taxonomy,"Generate Maryland Life & Health insurance licensing exam questions for concept 'Resident producer application' under Insurance Regulation > Licensing. Use Prometric-style wording, 4 answer choices, one correct answer, concise explanation, and avoid copying copyrighted provider questions."
